ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Tr1,Tr2,Tr3,Tr4,Tr5,Tr6,Tr7,Tr8,Tr9,Tr10
phenoA,1.451752156,10.89554169,6.129470248,10.13311924,15.33448374,7.319920855,6.214185398,7.829004774,15.97608273,14.06492074,0.220175216,1.146554169,0.628947025,1.072311924,1.574448374,0.812992086,0.69441854,0.833900477,1.654608273,1.450492074
phenoB,9.12484727,11.00696953,10.58314057,12.37296377,20.64129782,11.94097308,8.456417831,13.0353509,17.97543132,17.5416216,0.928484727,1.105696953,1.121314057,1.318296377,2.081129782,1.261097308,0.899641783,1.37953509,1.806543132,1.81916216
phenoC,1.101301127,0.334920596,0.569197253,0.404527852,0.167103087,0.321919378,0.428294292,0.373802864,0.268477067,0.276937992,10.27301127,2.559205965,5.161972534,3.965278516,1.391030871,3.039193776,3.852942925,2.908028637,1.974770665,2.139379915
geneE,2.51667837,5.183782838,2.591491882,2.626754859,7.620766365,4.303364223,4.371128043,4.66641732,6.137107857,5.179994864,0.315667837,0.572378284,0.344149188,0.301675486,0.820076637,0.464336422,0.524112804,0.515641732,0.617710786,0.600999486
geneF,0.2901455,0.0919554,0.3287061,0.1795763,0.0768817,0.1417826,0.2390031,0.207326,0.1311844,0.1967696,2.771455,0.739554,2.757061,1.655763,0.218817,1.407826,1.720031,1.55326,0.471844,1.597696
geneG,5.126358893,43.44320038,4.255410238,5.214173748,67.74386888,17.55901623,16.88759051,0.406389671,41.74014594,4.16052925,0.601635889,4.386320038,0.503541024,0.539417375,6.806386888,1.792901623,1.755759051,0.047638967,4.225014594,0.453052925
geneH,11.083,104.2777341,22.42,34.25,202.342,54.35,65.71766393,83.84,89.31,32.08157564,1.1093,10.49677341,2.287,3.463,20.2932,5.502,6.629766393,8.442,8.993,3.266157564
geneI,48.53662967,16.59660924,37.8164059,41.39596845,22.43033015,34.88371134,47.46203545,32.72218564,50.97750196,62.13939465,23.90966979,8.095906947,18.44702727,20.2921414,11.04942372,17.18409426,23.15221241,16.11930327,25.11206993,30.31189983
geneJ,85.69030055,86.75996973,92.02884235,156.2524318,15.91633628,68.45523266,139.4356832,228.3267344,127.2800798,117.5934062,17.02451496,17.26061029,18.37104638,31.01523402,3.187789362,13.60048267,27.62320459,45.64821045,25.3300952,23.48099726
phenoK,9.826969454,7.191393906,19.13262811,26.52659275,23.17225956,3.422194616,6.739283566,32.61907018,31.62308626,26.51832432,9.866969454,7.201393906,19.18262811,26.48659275,23.17225956,3.422194616,6.709283566,32.67907018,31.65308626,26.50832432
