ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
120min glucose,pheno,171.5,152.0,168.86,155.02,0.015873015873015872,0.007936507936507936,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,1.0,1.0,True,0.001257170147813431,0.00282863283258022
Body weight,pheno,30.700000000000003,31.25,30.910000000000004,31.069999999999997,0.007936507936507936,0.007936507936507936,0.36889896109954384,0.2765809376717416,0.36781053208058845,0.3260226836059989,1.0,1.0,True,0.0006722451381899064,0.00282863283258022
GTT-AUC,pheno,32880.5,31867.5,32009.22,31895.06,0.007936507936507936,0.007936507936507936,0.4788549681202752,0.8082601363314452,0.4909288987203508,0.8805103623442392,1.0,1.0,True,0.0006722451381899064,0.00282863283258022
HOMA-IR,pheno,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.015873015873015872,0.007936507936507936,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,1.0,1.0,True,0.001257170147813431,0.00282863283258022
OTU_1001564,microbe,0.0,0.0,0.7126471207,0.32046711384000004,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_100497,microbe,0.0,nan,0.9232915545200001,nan,0.14245669739409875,nan,-0.40885704733809847,nan,0.5930252733702785,nan,-1.0,nan,False,0.14245669739409872,0.27183429425581906
OTU_104463,microbe,0.0,0.004936729,6.19664412964,2.94529342724,0.15079365079365079,0.30952380952380953,0.7991057420781744,0.3563953893709825,1.6867348298707363,1.0725923148471166,1.0,1.0,True,0.1897103377902299,0.3273113982475211
OTU_1100972,microbe,224.7501418,55.12003194,435.5109593538,141.2296394268,1.0,0.010909498364269283,-0.23551337932846542,1.596179098394267,-0.04410899336203929,1.4387922305427252,-1.0,1.0,False,0.060199937037759325,0.15182464631575412
OTU_1105328,microbe,8.993018945500001,5.5455760745,14.821718175940003,6.456726008939999,0.0119252335930176,0.8412698412698413,-0.40885704733809847,0.12477684870397361,-0.4756829033624845,0.5213882159986674,-1.0,1.0,False,0.05620057793573507,0.1486357390142467
OTU_1105876,microbe,nan,2.8369326580000003,nan,4.67298821086,nan,0.15079365079365079,nan,-0.8631046716160425,nan,-0.7435507390328547,nan,-1.0,False,0.15079365079365087,0.27183429425581906
OTU_1106290,microbe,nan,0.0,nan,0.32046711384000004,nan,0.5476190476190477,nan,-1.4656424379909239,nan,-0.7080242775889175,nan,-1.0,False,0.5476190476190477,0.6362510322047895
OTU_1107303,microbe,18.992861295,1.8120655934999998,19.501687298519997,4.76622192896,0.5476190476190477,0.5476190476190477,2.6436937998454257,-1.4656424379909239,0.9990981799953225,-0.7080242775889175,1.0,-1.0,False,0.6610553150174396,0.7464725748230638
