Node,partition
120min glucose,1
GTT-AUC,1
HOMA-IR,1
OTU_182764,2
fasting glucose from GTT,1
fasting glucose from HOMA serum,1
fasting leptin,1
Body weight,1
fasting insulin,1
fed glucose,1
OTU_182712,3
OTU_1902400,2
OTU_1995182,2
OTU_259506,3
OTU_269037,0
OTU_272092,0
OTU_1129461,0
OTU_170950,0
OTU_180362,0
OTU_193064,0
OTU_197099,0
OTU_230268,0
OTU_261142,3
OTU_262104,0
OTU_268492,0
OTU_273737,0
OTU_331013,3
OTU_344703,2
OTU_349246,0
OTU_4448052,0
OTU_460611,0
OTU_129394,3
OTU_185222,2
OTU_261132,3
OTU_264155,3
OTU_264846,0
OTU_265011,3
OTU_268063,3
OTU_272889,0
OTU_346804,3
OTU_134762,4
OTU_176154,4
OTU_203713,4
OTU_206324,4
OTU_297143,4
OTU_324013,4
OTU_445144,4
OTU_166911,2
OTU_187233,2
OTU_187962,2
OTU_259993,2
OTU_324888,2
OTU_539647,2
OTU_549756,2
OTU_179703,4
OTU_196191,3
OTU_229452,0
OTU_272758,2
OTU_174320,0
OTU_631764,4
OTU_194151,4
OTU_264734,4
OTU_266946,0
OTU_191274,3
OTU_191616,3
OTU_191811,4
OTU_193672,4
OTU_198209,4
OTU_261590,4
OTU_270200,4
OTU_320249,0
OTU_4468805,3
OTU_191067,3
OTU_4345268,3
OTU_185177,3
OTU_188225,2
OTU_261016,0
OTU_288680,3
OTU_264225,3
OTU_198194,0
OTU_309916,0
