Edge name,partner1,partner2,Edge Type,Spearman corr pval (metatreatment1),Spearman corr pval (metatreatment2),Spearman corr pval (metatreatment3),Spearman corr pval (metatreatment4),Spearman corr pval (metatreatment5),Spearman corr pval (metatreatment6),Combined corr Pvalue,rho Coefficient (metatreatment1),rho Coefficient (metatreatment2),rho Coefficient (metatreatment3),rho Coefficient (metatreatment4),rho Coefficient (metatreatment5),rho Coefficient (metatreatment6),Mean rho Coefficient,Combined corr FDR,partner1 name,partner1_MedianValue (experiment1),partner1_MedianValue (experiment2),partner1_MeanValue (experiment1),partner1_MeanValue (experiment2),partner1_MedianLog2FoldChange (experiment1),partner1_MedianLog2FoldChange (experiment2),partner1_MeanLog2FoldChange (experiment1),partner1_MeanLog2FoldChange (experiment2),partner2 name,partner2_MedianValue (experiment1),partner2_MedianValue (experiment2),partner2_MeanValue (experiment1),partner2_MeanValue (experiment2),partner2_MedianLog2FoldChange (experiment1),partner2_MedianLog2FoldChange (experiment2),partner2_MeanLog2FoldChange (experiment1),partner2_MeanLog2FoldChange (experiment2),Correlations Consistent,combined Coefficient correlation Direction,partner1_FC_direction,partner2_FC_direction,IfFoldChangeDirectionMatch,PUC,"Final Network Value (0: No edge, 1: Positive edge, -1: Negative edge)"
120min glucose<==>GTT-AUC,120min glucose,GTT-AUC,pheno<==>pheno,6.860973825884818e-08,0.28475697986529386,0.28475697986529386,3.952440654415979e-10,0.7470600781046621,0.7470600781046621,1.383534585069828e-12,0.7688536501145274,0.5999999999999999,0.5999999999999999,0.8363458774457527,0.19999999999999996,0.19999999999999996,0.5341999212600467,9.131328261460865e-12,120min glucose,171.5,152.0,168.86,155.02,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,GTT-AUC,32880.5,31867.5,32009.22,31895.06,0.4788549681202752,0.8082601363314452,0.4909288987203508,0.8805103623442392,True,1.0,1.0,1.0,1.0,1,1.0
120min glucose<==>HOMA-IR,120min glucose,HOMA-IR,pheno<==>pheno,0.09585893827883338,0.28475697986529386,0.28475697986529386,0.0074340773256952545,0.10408803866182796,0.10408803866182796,0.004565466196141617,0.28595468481925906,0.5999999999999999,0.5999999999999999,0.44472471352200016,0.7999999999999998,0.7999999999999998,0.5884465663902098,0.010044025631511556,120min glucose,171.5,152.0,168.86,155.02,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,True,1.0,1.0,1.0,1.0,1,1.0
120min glucose<==>OTU_182764,120min glucose,OTU_182764,pheno<==>microbe,0.6691220683402739,0.28475697986529386,3.971862410081713e-24,0.13505906014391073,0.49253578170279755,0.28475697986529386,3.420977773177735e-21,-0.07485284396739429,-0.5999999999999999,-0.9999999999999998,-0.25767776785961694,0.41039134083406165,0.5999999999999999,-0.1536898784988249,1.2655521610895216e-19,120min glucose,171.5,152.0,168.86,155.02,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,OTU_182764,11.652714085,8.244844124,74.10189714242001,27.55369619228,-0.6131768949763435,-2.9924092074551645,-0.7689595926834929,-2.827975781345545,False,-1.0,1.0,-1.0,-1.0,1,-1.0
120min glucose<==>fasting glucose from GTT,120min glucose,fasting glucose from GTT,pheno<==>pheno,0.007518253933515941,0.28475697986529386,0.28475697986529386,0.00021452684688162254,0.10408803866182796,0.10408803866182796,0.00010541926092387679,0.444164126255445,0.5999999999999999,0.5999999999999999,0.5863180781207017,-0.7999999999999998,-0.7999999999999998,0.10508036739602448,0.00031625778277163036,120min glucose,171.5,152.0,168.86,155.02,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,fasting glucose from GTT,162.5,138.0,160.42,138.72,0.09729720135491479,0.6830267870554023,0.14512491574024958,0.8351156152582178,False,1.0,1.0,1.0,1.0,1,1.0
120min glucose<==>fasting glucose from HOMA serum,120min glucose,fasting glucose from HOMA serum,pheno<==>pheno,0.552653099083142,0.28475697986529386,0.28475697986529386,0.0013384490172471354,0.03738607346849874,0.03738607346849874,0.001121757014990985,0.10386883404464262,0.5999999999999999,0.5999999999999999,0.5208071078012838,0.8999999999999998,0.8999999999999998,0.604112656974321,0.002644141535335893,120min glucose,171.5,152.0,168.86,155.02,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,fasting glucose from HOMA serum,156.272225,149.919625,160.47577999999996,149.8645626,0.18798297693544025,0.7517045149314583,0.29850652646909237,1.137405609161876,True,1.0,1.0,1.0,1.0,1,1.0
120min glucose<==>fasting leptin,120min glucose,fasting leptin,pheno<==>pheno,0.001635457588032957,0.1881204043741873,0.1881204043741873,0.00022747514262466822,0.03738607346849874,0.03738607346849874,1.753807725371744e-06,0.5127559985631616,0.6999999999999998,0.6999999999999998,0.5844192753939076,0.8999999999999998,0.8999999999999998,0.7161958789928448,6.4306283263630616e-06,120min glucose,171.5,152.0,168.86,155.02,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,fasting leptin,13.78525,25.403104,16.00261249,31.964109823999998,1.9296877859319501,2.7617670199561326,1.413890126751636,3.2661279873012994,True,1.0,1.0,1.0,1.0,1,1.0
Body weight<==>HOMA-IR,Body weight,HOMA-IR,pheno<==>pheno,0.04623838910256606,0.03738607346849874,0.03738607346849874,3.469541444969274e-06,0.28475697986529386,0.28475697986529386,1.7368748733573575e-06,0.3391706493460922,0.8999999999999998,0.8999999999999998,0.695853207477092,0.5999999999999999,0.5999999999999999,0.6725039761371973,6.4306283263630616e-06,Body weight,30.700000000000003,31.25,30.910000000000004,31.069999999999997,0.36889896109954384,0.2765809376717416,0.36781053208058845,0.3260226836059989,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,True,1.0,1.0,1.0,1.0,1,1.0
Body weight<==>fasting insulin,Body weight,fasting insulin,pheno<==>pheno,0.0004939257139256095,0.1881204043741873,0.1881204043741873,5.296680186118693e-06,0.39100221895577075,0.39100221895577075,1.4187660940703462e-06,0.5581395567925779,0.6999999999999998,0.6999999999999998,0.6864448487840578,0.4999999999999999,0.4999999999999999,0.6074307342627726,6.4306283263630616e-06,Body weight,30.700000000000003,31.25,30.910000000000004,31.069999999999997,0.36889896109954384,0.2765809376717416,0.36781053208058845,0.3260226836059989,fasting insulin,1.059743,1.399102,1.0902571659999998,1.6067808659999998,0.7915055161447522,0.5969389281820545,0.7607040526731115,1.3153895661595187,True,1.0,1.0,1.0,1.0,1,1.0
Body weight<==>fasting leptin,Body weight,fasting leptin,pheno<==>pheno,0.0012010714140340177,0.10408803866182796,0.10408803866182796,0.0013744022826918303,0.1881204043741873,0.1881204043741873,2.8949965987017037e-05,0.5250770730066722,0.7999999999999998,0.7999999999999998,0.5197534527360602,0.6999999999999998,0.6999999999999998,0.6741384209571221,9.553488775715622e-05,Body weight,30.700000000000003,31.25,30.910000000000004,31.069999999999997,0.36889896109954384,0.2765809376717416,0.36781053208058845,0.3260226836059989,fasting leptin,13.78525,25.403104,16.00261249,31.964109823999998,1.9296877859319501,2.7617670199561326,1.413890126751636,3.2661279873012994,True,1.0,1.0,1.0,1.0,1,1.0
GTT-AUC<==>fasting glucose from GTT,GTT-AUC,fasting glucose from GTT,pheno<==>pheno,0.0002563236374300822,3.971862410081713e-24,3.971862410081713e-24,0.0009635864537720605,1.0,1.0,1.2378034124108044e-48,0.5805141264252691,0.9999999999999998,0.9999999999999998,0.5335949636327749,0.0,0.0,0.5190181816763405,4.0847512609556547e-47,GTT-AUC,32880.5,31867.5,32009.22,31895.06,0.4788549681202752,0.8082601363314452,0.4909288987203508,0.8805103623442392,fasting glucose from GTT,162.5,138.0,160.42,138.72,0.09729720135491479,0.6830267870554023,0.14512491574024958,0.8351156152582178,False,1.0,1.0,1.0,1.0,1,1.0
GTT-AUC<==>fasting glucose from HOMA serum,GTT-AUC,fasting glucose from HOMA serum,pheno<==>pheno,0.23345926486029042,3.971862410081713e-24,3.971862410081713e-24,0.009465203064510194,0.39100221895577075,0.39100221895577075,9.64438762217902e-43,0.20672268907563027,0.9999999999999998,0.9999999999999998,0.4324929971988796,0.4999999999999999,0.4999999999999999,0.6065359477124183,1.0608826384396921e-41,GTT-AUC,32880.5,31867.5,32009.22,31895.06,0.4788549681202752,0.8082601363314452,0.4909288987203508,0.8805103623442392,fasting glucose from HOMA serum,156.272225,149.919625,160.47577999999996,149.8645626,0.18798297693544025,0.7517045149314583,0.29850652646909237,1.137405609161876,True,1.0,1.0,1.0,1.0,1,1.0
GTT-AUC<==>fed glucose,GTT-AUC,fed glucose,pheno<==>pheno,1.448134426141076e-05,0.28475697986529386,0.28475697986529386,0.9033125893003967,0.1881204043741873,0.1881204043741873,0.00018524152881409546,0.6626026123197689,0.5999999999999999,0.5999999999999999,-0.021304933094967664,0.6999999999999998,0.6999999999999998,0.5402162798708001,0.0005094142042387625,GTT-AUC,32880.5,31867.5,32009.22,31895.06,0.4788549681202752,0.8082601363314452,0.4909288987203508,0.8805103623442392,fed glucose,182.5,156.0,181.86,154.12,0.2563397532597856,0.3337373971769956,0.21763058501743004,0.40872372534664153,False,1.0,1.0,1.0,1.0,1,1.0
HOMA-IR<==>OTU_182712,HOMA-IR,OTU_182712,pheno<==>microbe,0.49553602491493043,0.623837664781073,0.00481823046819857,0.006032172002790013,0.03738607346849874,0.28475697986529386,0.00040247232566501825,0.119114368488831,-0.29999999999999993,-0.9746794344808963,-0.4549656859314758,-0.8999999999999998,0.5999999999999999,-0.31842179198725684,0.004643911449980979,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,OTU_182712,10.09829048,7.0250758215,11.20786693436,7.184879434759999,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,False,-1.0,1.0,-1.0,-1.0,1,-1.0
HOMA-IR<==>OTU_1902400,HOMA-IR,OTU_1902400,pheno<==>microbe,0.5777807079322108,0.040519326353834,0.00481823046819857,0.3343688986743326,0.504631575468691,0.28475697986529386,0.009020653785066153,-0.09740067187416575,-0.8944271909999159,-0.9746794344808963,-0.16811432433511383,0.3999999999999999,0.5999999999999999,-0.18910360361501535,0.07806335006307248,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,OTU_1902400,0.078180634,3.3010460495,2.4582925948599996,3.26475248958,-0.46992405199094206,-1.4656424379909239,-1.9877219117815024,-0.7080242775889175,False,-1.0,1.0,-1.0,-1.0,1,-1.0
HOMA-IR<==>OTU_1995182,HOMA-IR,OTU_1995182,pheno<==>microbe,0.16330793722252124,3.971862410081713e-24,0.32172333582430024,0.7461346635177095,0.7405819415910722,0.623837664781073,5.09985642501815e-21,-0.24089635854341743,-0.9999999999999998,-0.5642880936468347,-0.05673858446310092,0.20519567041703082,0.29999999999999993,-0.22612122770605372,1.4343346195363549e-19,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,OTU_1995182,25.362316030000002,7.270355278,137.0664294198,25.565012141279993,-0.11780780248403427,-2.6923254705357462,-0.5169352174633168,-2.474153870925666,False,-1.0,1.0,-1.0,-1.0,1,-1.0
HOMA-IR<==>OTU_259506,HOMA-IR,OTU_259506,pheno<==>microbe,0.04509451459834047,0.03738607346849874,0.00481823046819857,0.24609929012775505,0.03738607346849874,0.28475697986529386,0.0009533049568215859,-0.34085909666446396,0.8999999999999998,-0.9746794344808963,-0.20135139175354505,-0.8999999999999998,0.5999999999999999,-0.15281498714981756,0.010463103184627162,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,OTU_259506,3.788158859,2.1389852065,4.39653033702,2.5695175849600003,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,False,-1.0,1.0,-1.0,-1.0,1,-1.0
HOMA-IR<==>OTU_269037,HOMA-IR,OTU_269037,pheno<==>microbe,0.7156022343680091,0.28475697986529386,0.00481823046819857,0.332506133466398,3.971862410081713e-24,0.28475697986529386,1.7800389216056106e-22,-0.06384077140497799,0.5999999999999999,-0.9746794344808963,-0.16875404009259268,-0.9999999999999998,0.5999999999999999,-0.16787904099641116,4.005087573612624e-20,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,OTU_269037,3.8229471750000004,1.972183303,4.08890754768,2.3462282407999995,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,False,-1.0,1.0,-1.0,-1.0,1,-1.0
HOMA-IR<==>OTU_272092,HOMA-IR,OTU_272092,pheno<==>microbe,0.6940790645632398,0.39100221895577075,0.00481823046819857,0.19333735765350257,0.00481823046819857,0.28475697986529386,0.0008600130908015716,0.06890756302521009,-0.4999999999999999,-0.9746794344808963,-0.22521201311291636,-0.9746794344808963,0.5999999999999999,-0.33427721984158315,0.00967514727151768,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,OTU_272092,8.568399598,6.586518164999999,14.13593111322,8.69336654584,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,False,-1.0,1.0,-1.0,-1.0,1,-1.0
HOMA-IR<==>fasting glucose from HOMA serum,HOMA-IR,fasting glucose from HOMA serum,pheno<==>pheno,0.00019347656391022672,0.7470600781046621,0.7470600781046621,0.0034050542373939186,0.28475697986529386,0.28475697986529386,0.0005310391608245494,0.5896358543417368,0.19999999999999996,0.19999999999999996,0.4815126050420169,0.5999999999999999,0.5999999999999999,0.44519140989729217,0.00134802248517001,HOMA-IR,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,fasting glucose from HOMA serum,156.272225,149.919625,160.47577999999996,149.8645626,0.18798297693544025,0.7517045149314583,0.29850652646909237,1.137405609161876,True,1.0,1.0,1.0,1.0,1,1.0
