ID,Type,Median Value (experiment1),Median Value (experiment2),Mean Value (experiment1),Mean Value (experiment2),Comparison p-value (experiment1),Comparison p-value (experiment2),Median Log2 Fold Change (experiment1),Median Log2 Fold Change (experiment2),Mean Log2 Fold Change (experiment1),Mean Log2 Fold Change (experiment2),Median Log2 Fold Change Direction (experiment1),Median Log2 Fold Change Direction (experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
120min glucose,pheno,171.5,152.0,168.86,155.02,0.015873015873015872,0.007936507936507936,0.643379186946478,0.7493493186220386,0.5080415628619188,0.8974302663594523,1.0,1.0,True,0.001257170147813431,0.00282863283258022
Body weight,pheno,30.700000000000003,31.25,30.910000000000004,31.069999999999997,0.007936507936507936,0.007936507936507936,0.36889896109954384,0.2765809376717416,0.36781053208058845,0.3260226836059989,1.0,1.0,True,0.0006722451381899064,0.00282863283258022
GTT-AUC,pheno,32880.5,31867.5,32009.22,31895.06,0.007936507936507936,0.007936507936507936,0.4788549681202752,0.8082601363314452,0.4909288987203508,0.8805103623442392,1.0,1.0,True,0.0006722451381899064,0.00282863283258022
HOMA-IR,pheno,1.5111448484999999,2.856122853,1.6544499620199997,3.4275670724799987,0.015873015873015872,0.007936507936507936,0.9394039844088614,1.3698977782649544,1.0226186576028207,2.0762842062179696,1.0,1.0,True,0.001257170147813431,0.00282863283258022
OTU_1001564,microbe,0.0,0.0,0.7126471207,0.32046711384000004,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_1129461,microbe,0.0,0.0,0.63032576212,0.35919822604,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_129394,microbe,11.10999404,3.624961239,14.773481331820001,4.744151272240001,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_134762,microbe,12.798330815,6.0573719795,43.425232068739994,12.019260633839998,0.015873015873015872,0.007936507936507936,-2.3968126017294216,-2.5468384174288565,-2.0415820605347044,-2.385911816639116,-1.0,-1.0,True,0.001257170147813431,0.09219122893063604
OTU_166911,microbe,20.739928365,9.8012992805,116.47738409850001,35.43170607156001,0.2059032107320684,0.011667312343319386,-0.26642821133054173,-2.3068279181529094,-0.5488953901554163,-2.2400931618764908,-1.0,-1.0,True,0.016891584450975744,0.10112913369477593
OTU_170950,microbe,24.004075115,9.463017636,27.75357336338,11.267715450460003,0.0119252335930176,0.5476190476190477,-0.46992405199094206,-1.4656424379909239,-1.3986153771315213,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
OTU_174320,microbe,7.1923782974999995,5.5455760745,8.07052114276,5.671284336879999,0.0119252335930176,0.5476190476190477,-0.40885704733809847,-1.4656424379909239,-0.4756829033624845,-0.7080242775889175,-1.0,-1.0,True,0.03938714513419287,0.12666905875156428
