Node,Observed degree, Observed BiBC, Probability
HOMA-IR,11.0,273.70613047970727,0.0%
fasting leptin,9.0,174.13805909850882,0.0%
OTU_259506,25.0,149.89713272245103,0.0%
120min glucose,6.0,100.38201580707036,0.0%
OTU_1902400,18.0,93.0041175344667,0.0%
OTU_182712,15.0,78.61392757590278,0.02%
GTT-AUC,4.0,71.99999999999936,0.08%
OTU_272092,17.0,69.6395637724398,0.09%
OTU_182764,12.0,58.49875940012364,0.77%
OTU_262104,15.0,58.37217894781037,0.75%
OTU_269037,13.0,45.77890797468871,6.65%
OTU_539647,20.0,39.54380684329883,3.57%
fasting glucose from HOMA serum,4.0,38.37373582392768,23.7%
OTU_264155,17.0,28.23599453818361,33.65%
OTU_194151,9.0,20.99577754242627,99.83%
fasting glucose from GTT,4.0,19.51516259969829,99.99%
OTU_1995182,11.0,14.22763347763348,99.45%
OTU_272889,24.0,12.84048650944821,0.14%
OTU_206324,12.0,11.750223116105015,97.7%
OTU_268492,27.0,11.10263882525685,0.0%
OTU_191274,10.0,10.326443374633026,99.86%
OTU_191067,3.0,9.0,100.0%
OTU_270200,10.0,8.207594247145884,99.86%
OTU_203713,8.0,7.506236005835377,99.99%
OTU_631764,8.0,6.447965083092279,99.99%
OTU_261132,18.0,5.536811006261577,23.0%
OTU_4448052,16.0,5.305875222718609,53.65%
OTU_264846,10.0,5.272408218249167,99.86%
OTU_324013,5.0,5.241030777256133,100.0%
OTU_185177,14.0,4.986007230269688,84.13%
OTU_344703,14.0,4.847230695379257,84.13%
OTU_4345268,10.0,4.673668020879193,99.86%
OTU_549756,11.0,4.536976911976911,99.45%
OTU_268063,17.0,4.422111261659721,36.91%
OTU_460611,11.0,3.804403393541324,99.45%
OTU_134762,6.0,3.758969222743871,100.0%
OTU_193064,17.0,3.7206611124306206,36.91%
OTU_320249,14.0,3.527780140810991,84.13%
OTU_179703,13.0,3.487500333568108,93.3%
OTU_331013,14.0,3.0879190815191597,84.13%
OTU_349246,21.0,2.162834779527355,3.01%
OTU_180362,11.0,1.73010934417468,99.45%
OTU_174320,8.0,1.560665897454691,99.99%
OTU_297143,8.0,1.444451704086564,99.99%
OTU_346804,15.0,1.4195526695526697,70.82%
OTU_1129461,17.0,1.30197818871313,36.91%
OTU_191811,10.0,1.2670174652933273,99.86%
OTU_197099,14.0,1.1641268269943408,84.13%
OTU_176154,8.0,0.9629678027243752,99.99%
OTU_265011,11.0,0.8228305219684529,99.45%
OTU_193672,12.0,0.7813131313131314,97.7%
OTU_309916,6.0,0.7034680221976046,100.0%
OTU_229452,12.0,0.6128342245989307,97.7%
OTU_272758,11.0,0.5831750091340884,99.45%
OTU_266946,12.0,0.5421245421245422,97.7%
OTU_196191,17.0,0.4968134089308795,36.91%
OTU_259993,12.0,0.4857142857142857,97.7%
OTU_166911,11.0,0.4857142857142857,99.45%
OTU_273737,15.0,0.4465304523063143,70.82%
OTU_185222,10.0,0.3885720559633603,99.86%
OTU_187233,11.0,0.3246753246753247,99.45%
OTU_4468805,10.0,0.2931175105088148,99.86%
OTU_191616,10.0,0.2853535353535353,99.86%
OTU_261590,10.0,0.2232323232323232,99.86%
OTU_261142,16.0,0.1339285714285714,53.65%
OTU_230268,6.0,0.0630541871921182,100.0%
OTU_129394,14.0,0.0,84.13%
OTU_261016,12.0,0.0,97.7%
OTU_170950,11.0,0.0,99.45%
OTU_324888,9.0,0.0,99.97%
OTU_187962,8.0,0.0,99.99%
OTU_198209,6.0,0.0,100.0%
OTU_264225,6.0,0.0,100.0%
OTU_198194,4.0,0.0,100.0%
Body weight,3.0,0.0,100.0%
fasting insulin,3.0,0.0,100.0%
OTU_188225,2.0,0.0,100.0%
OTU_264734,2.0,0.0,100.0%
OTU_445144,2.0,0.0,100.0%
OTU_288680,1.0,0.0,100.0%
fed glucose,1.0,0.0,100.0%
