Network,Node,Degree,BiBC
106,OTU_270200,15,32.410629280252195
2558,OTU_198194,15,34.572369964505526
2429,Body weight,15,28.147357457984842
3760,OTU_259993,20,37.70167981885135
1538,OTU_272758,16,33.95682447413422
1898,OTU_1902400,16,32.14600238598689
3500,OTU_230268,18,31.044971983640732
2158,OTU_185177,18,26.04288970620174
755,OTU_187233,17,29.149277756633158
2238,OTU_261142,20,46.12727746991656
439,OTU_539647,15,24.478825478786792
1577,OTU_166911,22,49.98375351962157
1557,OTU_185222,13,29.5698406556864
2354,OTU_549756,17,29.844909785203885
9,OTU_129394,22,27.972355249205165
2277,OTU_129394,18,56.75738918654529
190,OTU_264155,16,36.378480813656765
958,OTU_264155,19,42.65198394488519
1599,OTU_264225,18,40.559541637674684
419,OTU_349246,17,37.13019106796204
399,OTU_198194,18,30.83655740810913
397,120min glucose,17,31.785945872601566
1815,OTU_344703,15,28.095883664502587
236,OTU_344703,17,28.43804558755933
30,OTU_264155,17,29.5903211206765
737,OTU_264734,20,47.72970600038023
2417,GTT-AUC,14,41.86694507562162
2510,OTU_174320,16,35.52045310898254
1358,OTU_4468805,16,35.31849514737222
2214,OTU_539647,18,33.904891434712084
117,OTU_1902400,19,38.10408896601665
1516,OTU_261132,22,63.894424498651794
1313,OTU_187233,15,22.04897012265938
155,OTU_259993,15,36.81481918064736
1472,OTU_344703,12,30.87630778594777
773,OTU_264225,18,32.58405837674986
1096,OTU_188225,13,24.258081924114528
273,OTU_272889,17,26.476817811157886
971,OTU_549756,13,25.60442818259536
1570,OTU_193672,16,28.464806435394678
2114,OTU_349246,15,25.20325687944816
1291,OTU_261132,15,33.649239267045516
1314,OTU_349246,15,34.17004446791595
2620,OTU_261016,13,30.860815916936577
1458,OTU_206324,18,36.16631973977179
235,OTU_196191,18,40.663595907736365
1913,OTU_180362,16,49.10568479749709
317,OTU_1995182,23,37.197378156759015
2507,GTT-AUC,18,29.24855118552701
2108,OTU_1902400,20,36.92298581095975
670,OTU_264225,17,34.044270800578886
492,OTU_261142,17,33.203374951950124
2345,OTU_261016,15,27.341268290122116
556,OTU_264734,14,30.38342451236414
2385,OTU_196191,15,32.130633616618084
1408,Body weight,18,38.835599101620794
629,OTU_182764,15,31.9587353586386
1152,OTU_264846,16,49.07166940075484
573,OTU_265011,14,33.87272020747083
851,OTU_272889,18,45.42189869798901
613,OTU_264846,15,29.91963871468514
