Network Index,Node,Degree,BiBC
0,OTU_230268,15,0.05771605747089231
1,OTU_539647,15,0.051711862837766326
2,OTU_166911,18,0.04746238594616962
3,OTU_272758,19,0.05659137216412761
4,OTU_265011,18,0.05885117289754743
5,OTU_631764,18,0.04742339255822927
6,OTU_129394,19,0.054172032936556626
7,OTU_4468805,15,0.05519222168210526
8,OTU_182712,17,0.05870599173452265
9,GTT-AUC,20,0.05624486193875547
10,OTU_230268,15,0.044953124182230166
11,OTU_191616,15,0.05384944302821771
12,OTU_631764,16,0.0535649103731039
13,OTU_187962,16,0.05226873188962028
14,OTU_129394,17,0.06685897371451192
15,OTU_324888,17,0.05177732385696265
16,OTU_4345268,20,0.04399762610959752
17,OTU_262104,13,0.046399299355129334
18,OTU_264734,19,0.043433554435433265
19,OTU_198194,19,0.06088681283547151
20,OTU_266946,19,0.060184437318841835
21,OTU_261590,17,0.05311591567285693
22,OTU_264225,16,0.05219382320517351
23,OTU_188225,19,0.05610129273208936
24,OTU_259993,14,0.041059584187983764
25,OTU_259506,17,0.04790983352971902
26,OTU_320249,19,0.06410003862594296
27,OTU_266946,17,0.05779847252568359
28,OTU_191067,20,0.09487372732447512
29,OTU_288680,17,0.05159266196613337
30,OTU_288680,16,0.044779931432535384
31,fasting insulin,14,0.04292104151328185
32,fasting leptin,12,0.042205245079152784
33,OTU_193672,16,0.058578331152253735
34,OTU_187233,17,0.04769363972720536
35,OTU_264225,14,0.05309867857459395
36,OTU_344703,15,0.05157070824268815
37,OTU_193672,17,0.04988312781202214
38,OTU_268063,16,0.056131676445897935
39,OTU_134762,23,0.05099535226502911
40,OTU_273737,14,0.049263837467886984
41,OTU_261132,21,0.057900445705895975
42,OTU_261142,16,0.05740747864271174
43,OTU_272092,23,0.06360168493444109
44,OTU_264225,14,0.061608520000219366
45,OTU_261590,16,0.04995294882696723
46,OTU_129394,19,0.058166206481698075
47,OTU_191811,16,0.03694482324800039
48,OTU_346804,15,0.06198937387671971
49,GTT-AUC,15,0.052462214782153745
50,fasting insulin,12,0.040995496296144546
51,120min glucose,17,0.05449578878606197
52,OTU_187233,14,0.046298071349125836
53,fasting leptin,22,0.04328173589176009
54,OTU_188225,18,0.05240698575412748
55,OTU_191067,20,0.059932641493323245
56,OTU_631764,19,0.045612780102628
57,OTU_268063,16,0.0551322442573769
58,OTU_266946,11,0.05243748330849885
59,OTU_264155,21,0.08069715960301621
60,OTU_203713,17,0.048220472899516705
61,OTU_272758,15,0.04597338895104854
62,120min glucose,18,0.0388672244830333
63,OTU_331013,24,0.08705503316489256
64,OTU_349246,14,0.07011760627976608
65,OTU_198194,22,0.0781662587920675
66,OTU_264846,16,0.06715188355244743
67,OTU_206324,17,0.051077892946960794
68,OTU_198209,16,0.05715941085863689
69,OTU_180362,17,0.06411083128807961
70,GTT-AUC,13,0.04182264306828934
71,OTU_264846,17,0.056525927084183775
72,OTU_288680,23,0.08638818777014357
73,fasting insulin,18,0.05496492748457185
74,OTU_264846,16,0.03683035684223772
75,OTU_324888,17,0.06103966290033683
76,OTU_344703,15,0.034906616750030185
77,fed glucose,18,0.0511652056992197
78,fasting insulin,18,0.04642751304009131
79,OTU_324888,17,0.0498402971048528
80,OTU_229452,16,0.046848578985637636
81,OTU_188225,20,0.06034910232300466
82,OTU_194151,21,0.10233480494003916
83,OTU_261132,15,0.04824567005453631
84,OTU_191274,17,0.0593370700227268
85,OTU_1902400,13,0.05934603250958991
86,OTU_264846,19,0.04444933907911182
87,fasting glucose from HOMA serum,19,0.0910467197087307
88,OTU_182712,21,0.06447975445049679
89,OTU_185222,15,0.05889644067968902
90,OTU_129394,15,0.044653858034259794
91,OTU_539647,26,0.08340612891761903
92,OTU_324888,17,0.059637902449934645
93,OTU_346804,17,0.045531246895640476
94,OTU_191616,19,0.060922496737018265
95,OTU_180362,15,0.04650456188770595
96,OTU_185177,16,0.03662625979940373
97,OTU_206324,14,0.04378109812346832
98,OTU_264734,14,0.041409287631845544
99,OTU_134762,17,0.07437188464152869
100,OTU_259506,19,0.06102548514069133
101,OTU_445144,13,0.04055215291798187
102,OTU_346804,17,0.05008785382739252
103,OTU_272092,16,0.04996367719352984
104,OTU_166911,14,0.035698694340037
105,OTU_1129461,17,0.05606728286273052
106,OTU_631764,18,0.04436843473639068
107,OTU_261142,19,0.04880672379482761
108,OTU_193672,16,0.05962847411632074
109,HOMA-IR,21,0.059851877340637016
110,OTU_182712,21,0.09657438332367302
111,OTU_269037,17,0.06084733004904902
112,OTU_539647,16,0.05322000573879361
113,OTU_261016,12,0.04880081936604076
114,fasting leptin,17,0.056055432823484054
115,OTU_191274,11,0.052694552489109994
116,OTU_272092,16,0.04333611076540028
117,OTU_4468805,19,0.06525155171894778
118,OTU_187962,16,0.051310239979043326
119,OTU_191616,16,0.046981665769237776
120,OTU_187233,16,0.0442241505018196
121,OTU_264225,17,0.045065723020281244
122,OTU_266946,17,0.05228643837848133
123,OTU_265011,15,0.0473812366211965
124,OTU_1902400,14,0.0462233651429826
125,OTU_188225,14,0.05755734271843897
126,fasting glucose from GTT,17,0.045937951932881006
127,OTU_206324,18,0.045355222888084336
128,OTU_196191,18,0.06583054564984336
129,fasting leptin,17,0.06630411371735333
130,OTU_182712,19,0.05871311799577477
131,GTT-AUC,18,0.035231040968553645
132,OTU_268063,18,0.04453530967120489
133,OTU_193672,13,0.0382323942102258
134,OTU_198194,16,0.061513435407046776
135,OTU_187962,16,0.06510654871732077
136,120min glucose,16,0.05289739040122005
137,fasting leptin,15,0.04828511253860418
138,OTU_259993,17,0.058221043069947305
139,OTU_346804,14,0.05371395688297097
140,OTU_324888,15,0.0487024421142966
141,OTU_198194,19,0.0505556785534123
142,OTU_193064,15,0.0503593726391627
143,OTU_4468805,16,0.049482316854757194
144,OTU_288680,17,0.05452928931431526
145,OTU_268492,15,0.044629508809039035
146,OTU_198194,18,0.046230189556858856
147,OTU_185177,15,0.047850538827998695
148,OTU_309916,19,0.053725352167732346
149,OTU_297143,14,0.052810041485748985
150,OTU_268063,15,0.04787477573587489
151,OTU_270200,12,0.04987652517612981
152,OTU_203713,16,0.04763471411726694
153,OTU_309916,14,0.05773080861616839
154,OTU_129394,21,0.05573477885377806
155,OTU_166911,17,0.055571463315106276
156,OTU_191616,16,0.06025570524487665
157,OTU_180362,18,0.04804154104870687
158,OTU_203713,17,0.049156808221286916
159,OTU_349246,16,0.05692135274001677
160,OTU_264846,12,0.04558844800305431
161,OTU_265011,16,0.06848857297991745
162,OTU_198194,17,0.04991252965402412
163,OTU_264225,19,0.03570779500746887
164,OTU_196191,16,0.07318278091612686
165,OTU_349246,18,0.044470898247406625
166,OTU_229452,18,0.0748523927408053
167,OTU_270200,21,0.05259070649501473
168,OTU_272758,18,0.05025408031093759
169,OTU_198209,16,0.05342064517993517
170,fed glucose,15,0.06362244297353783
171,OTU_203713,17,0.044526366504511895
172,OTU_631764,14,0.04455340357507912
173,GTT-AUC,21,0.09016883275247718
174,OTU_270200,19,0.07444457155862871
175,OTU_134762,14,0.04188457712182618
176,OTU_288680,12,0.050164946740660056
177,OTU_182712,16,0.06221937896199157
178,fasting glucose from GTT,15,0.044340773183110846
179,OTU_1902400,16,0.08021477385003757
