ID,Type,Median Value (Experiment1),Median Value (Experiment2),Mean Value (Experiment1),Mean Value (Experiment2),Comparison p-value (Experiment1),Comparison p-value (Experiment2),Median Log2 Fold Change (Experiment1),Median Log2 Fold Change (Experiment2),Mean Log2 Fold Change (Experiment1),Mean Log2 Fold Change (Experiment2),Median Log2 Fold Change Direction (Experiment1),Median Log2 Fold Change Direction (Experiment2),Median Log2 Fold Changes Consistent,Combined Comparison p-value,Corrected Comparison p-value
PLChol,plasma_anthro,0.985,0.985,0.8681249999999999,0.8681249999999999,0.000930972271575002,0.000930972271575002,2.1468413883292707,2.1468413883292707,2.1395513523987932,2.1395513523987932,1.0,1.0,True,1.2964725965737427e-05,1.5059320013081887e-05
TLR2Agonist,plasma_anthro,1.03,1.03,1.0849999999999997,1.0849999999999997,0.000930972271575002,0.000930972271575002,0.6069050536018332,0.6069050536018332,0.6399483599974574,0.6399483599974574,1.0,1.0,True,1.2964725965737427e-05,1.5059320013081887e-05
TLR4Agonist,plasma_anthro,1.0,1.0,0.9846875,0.9846875,0.000891015907586499,0.000891015907586499,0.4906351181730032,0.4906351181730032,0.47138032500399707,0.47138032500399707,1.0,1.0,True,1.1945395480596261e-05,1.5059320013081887e-05
BW,plasma_anthro,0.995,0.995,0.9587500000000002,0.9587500000000002,0.0009228863794545132,0.0009228863794545132,0.4150374992788437,0.4150374992788437,0.47778676496810957,0.47778676496810957,1.0,1.0,True,1.2755355324884391e-05,1.5059320013081887e-05
LW,plasma_anthro,0.95,0.95,0.9425000000000001,0.9425000000000001,0.0009391056991171899,0.0009391056991171899,0.8699394594356273,0.8699394594356273,0.8608179477990685,0.8608179477990685,1.0,1.0,True,1.317690501144665e-05,1.5059320013081887e-05
LW_BW,plasma_anthro,0.98,0.98,0.9837500000000002,0.9837500000000002,0.00387604144899475,0.00387604144899475,0.384480032302874,0.384480032302874,0.368208367131333,0.368208367131333,1.0,1.0,True,0.0001818751036234563,0.0001818751036234563
LeanMass,plasma_anthro,1.025,1.025,1.1021875000000003,1.1021875000000003,0.000891015907586499,0.000891015907586499,-0.45305082521557505,-0.45305082521557505,-0.4630745898808293,-0.4630745898808293,-1.0,-1.0,True,1.1945395480596261e-05,1.5059320013081887e-05
FatMass,plasma_anthro,0.965,0.965,0.8690625000000002,0.8690625000000002,0.000891015907586499,0.000891015907586499,1.0,1.0,1.061728989751706,1.061728989751706,1.0,1.0,True,1.1945395480596261e-05,1.5059320013081887e-05
lipid1,lipid_metab,0.010449737,0.010449737,0.014241398312500002,0.014241398312500002,0.0013593755271592322,0.0013593755271592322,4.046063671735368,4.046063671735368,3.3161727431160077,3.3161727431160077,1.0,1.0,True,2.624290330258801e-05,3.0866005438795226e-05
lipid2,lipid_metab,0.277028302,0.277028302,0.37542086337499997,0.37542086337499997,0.0013593755271592322,0.0013593755271592322,2.8119183803140118,2.8119183803140118,2.5923385442313553,2.5923385442313553,1.0,1.0,True,2.624290330258801e-05,3.0866005438795226e-05
lipid3,lipid_metab,0.072200858,0.072200858,0.08326308034374999,0.08326308034374999,0.0009391056991171899,0.0009391056991171899,4.311356682340404,4.311356682340404,3.6149192092149205,3.6149192092149205,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid5,lipid_metab,0.4646294405,0.4646294405,0.66853018725,0.66853018725,0.0009391056991171899,0.0009391056991171899,4.657847949770616,4.657847949770616,4.4653070474911045,4.4653070474911045,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid6,lipid_metab,0.068716108,0.068716108,0.10695014012500002,0.10695014012500002,0.000930972271575002,0.000930972271575002,4.6071341346471675,4.6071341346471675,4.1917480796960245,4.1917480796960245,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid10,lipid_metab,0.012927862,0.012927862,0.01864262953125,0.01864262953125,0.0009391056991171899,0.0009391056991171899,4.7147320095407315,4.7147320095407315,4.01044594695942,4.01044594695942,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid19,lipid_metab,0.327556991,0.327556991,0.4545171847500001,0.4545171847500001,0.0013593755271592322,0.0013593755271592322,2.484966753379,2.484966753379,2.333175508478181,2.333175508478181,1.0,1.0,True,2.624290330258801e-05,3.0866005438795226e-05
lipid20,lipid_metab,0.6070551495000001,0.6070551495000001,0.87131608159375,0.87131608159375,0.0009391056991171899,0.0009391056991171899,4.676055487672415,4.676055487672415,4.492432666848767,4.492432666848767,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid23,lipid_metab,1.0040422195,1.0040422195,1.7052277205937503,1.7052277205937503,0.0009391056991171899,0.0009391056991171899,3.284957133943797,3.284957133943797,3.1919196540692054,3.1919196540692054,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid28,lipid_metab,6.709307215,6.709307215,6.9338078370312495,6.9338078370312495,0.00387604144899475,0.00387604144899475,5.966075325468823,5.966075325468823,2.901795772001164,2.901795772001164,1.0,1.0,True,0.0001818751036234563,0.00018513743732073804
lipid30,lipid_metab,18.886852765,18.886852765,21.130249991093756,21.130249991093756,0.004544635363407644,0.004544635363407644,0.7553602094095979,0.7553602094095979,1.0389859149465452,1.0389859149465452,1.0,1.0,True,0.00024345800038845058,0.00024345800038845058
lipid31,lipid_metab,6.398027116,6.398027116,6.427477596156249,6.427477596156249,0.000930972271575002,0.000930972271575002,8.34454798304402,8.34454798304402,8.379416631779803,8.379416631779803,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid35,lipid_metab,213.67957355,213.67957355,248.53480694125,248.53480694125,0.001932593085439987,0.001932593085439987,1.692762991616814,1.692762991616814,1.646486665130807,1.646486665130807,1.0,1.0,True,5.0413094442123284e-05,5.554099656309434e-05
lipid38,lipid_metab,46.00735499,46.00735499,55.31814838375,55.31814838375,0.002761604417827473,0.002761604417827473,1.5105648902086428,1.5105648902086428,1.539568197635897,1.539568197635897,1.0,1.0,True,9.74957889113269e-05,0.00010293741433893585
lipid44,lipid_metab,98.20344539,98.20344539,113.10719960812501,113.10719960812501,0.000930972271575002,0.000930972271575002,1.3310129722615287,1.3310129722615287,1.7435383530573154,1.7435383530573154,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid47,lipid_metab,9.462931767499999,9.462931767499999,11.953126078031252,11.953126078031252,0.0009391056991171899,0.0009391056991171899,-2.131270537801747,-2.131270537801747,-5.779223581940754,-5.779223581940754,-1.0,-1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid48,lipid_metab,12.690646234999999,12.690646234999999,19.908892982875,19.908892982875,0.0009391056991171899,0.0009391056991171899,-1.6073306413153183,-1.6073306413153183,-6.096853322981119,-6.096853322981119,-1.0,-1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid55,lipid_metab,114.53670235,114.53670235,125.784034776875,125.784034776875,0.000930972271575002,0.000930972271575002,-0.9902207601830165,-0.9902207601830165,-0.9112970332934291,-0.9112970332934291,-1.0,-1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid56,lipid_metab,68.49555332,68.49555332,80.90565945859376,80.90565945859376,0.0009228863794545132,0.0009228863794545132,2.3019071957961,2.3019071957961,2.592249628479454,2.592249628479454,1.0,1.0,True,1.2755355324884391e-05,1.6804255267406683e-05
lipid57,lipid_metab,53.87027295,53.87027295,58.81461659643749,58.81461659643749,0.0014910150289164893,0.0014910150289164893,-0.5790864970517656,-0.5790864970517656,-0.6566863191385406,-0.6566863191385406,-1.0,-1.0,True,3.116065715335374e-05,3.6461181308305665e-05
lipid62,lipid_metab,67.62577725,67.62577725,68.3538334865625,68.3538334865625,0.0013593755271592322,0.0013593755271592322,-0.7729668397796441,-0.7729668397796441,-0.9087025738104593,-0.9087025738104593,-1.0,-1.0,True,2.624290330258801e-05,3.0866005438795226e-05
lipid63,lipid_metab,48.737976255,48.737976255,57.23908654406249,57.23908654406249,0.000930972271575002,0.000930972271575002,1.2493371407265657,1.2493371407265657,1.3395327158911052,1.3395327158911052,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid64,lipid_metab,17.765456475,17.765456475,23.844306673968745,23.844306673968745,0.000930972271575002,0.000930972271575002,6.563594134670115,6.563594134670115,2.925375191988269,2.925375191988269,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid65,lipid_metab,756.1127031999999,756.1127031999999,724.009844884375,724.009844884375,0.00387604144899475,0.00387604144899475,0.7051423324178119,0.7051423324178119,0.6801816539832743,0.6801816539832743,1.0,1.0,True,0.0001818751036234563,0.00018513743732073804
lipid67,lipid_metab,75.47460995,75.47460995,91.5336292234375,91.5336292234375,0.0009391056991171899,0.0009391056991171899,1.0208337458364376,1.0208337458364376,1.115154798032444,1.115154798032444,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid68,lipid_metab,1496.9914525,1496.9914525,1405.3046280665621,1405.3046280665621,0.0009391056991171899,0.0009391056991171899,5.740335528079967,5.740335528079967,2.5631666569472906,2.5631666569472906,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid70,lipid_metab,1691.6816845,1691.6816845,1655.5362608875002,1655.5362608875002,0.001932593085439987,0.001932593085439987,2.557955301946821,2.557955301946821,1.8983781638388002,1.8983781638388002,1.0,1.0,True,5.0413094442123284e-05,5.554099656309434e-05
lipid73,lipid_metab,54.840123285000004,54.840123285000004,56.02365334656249,56.02365334656249,0.0019475275859466652,0.0019475275859466652,-0.751290654480508,-0.751290654480508,-0.753920591246345,-0.753920591246345,-1.0,-1.0,True,5.1136864677034e-05,5.554099656309434e-05
lipid75,lipid_metab,226.9881293,226.9881293,237.312751733125,237.312751733125,0.0009391056991171899,0.0009391056991171899,1.2487178729170771,1.2487178729170771,1.2346078844152977,1.2346078844152977,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid81,lipid_metab,59.45090429,59.45090429,53.913051157562506,53.913051157562506,0.0009391056991171899,0.0009391056991171899,-8.381790434909783,-8.381790434909783,-8.480415335448022,-8.480415335448022,-1.0,-1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid86,lipid_metab,308.989163,308.989163,462.7434694178125,462.7434694178125,0.001932593085439987,0.001932593085439987,-1.6945132077072604,-1.6945132077072604,-1.4855671426026384,-1.4855671426026384,-1.0,-1.0,True,5.0413094442123284e-05,5.554099656309434e-05
lipid88,lipid_metab,97.33172600500001,97.33172600500001,109.138845035,109.138845035,0.0009391056991171899,0.0009391056991171899,-1.601667700404658,-1.601667700404658,-1.4427398611073965,-1.4427398611073965,-1.0,-1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid89,lipid_metab,200.5711063,200.5711063,234.6870488690625,234.6870488690625,0.0016162982798706125,0.0016162982798706125,-1.5719015763350455,-1.5719015763350455,-1.4623450923112968,-1.4623450923112968,-1.0,-1.0,True,3.619569092996498e-05,4.17077250817363e-05
lipid90,lipid_metab,164.4317638,164.4317638,154.94925745318753,154.94925745318753,0.0009391056991171899,0.0009391056991171899,-1.5210564012662382,-1.5210564012662382,-1.2863357161850324,-1.2863357161850324,-1.0,-1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid92,lipid_metab,33.965545735,33.965545735,50.49870695240625,50.49870695240625,0.0009228863794545132,0.0009228863794545132,-2.1462785034757004,-2.1462785034757004,-1.916467697237997,-1.916467697237997,-1.0,-1.0,True,1.2755355324884391e-05,1.6804255267406683e-05
lipid94,lipid_metab,81.7017508,81.7017508,109.99528846,109.99528846,0.0009391056991171899,0.0009391056991171899,1.7343543295480452,1.7343543295480452,1.6748711592640588,1.6748711592640588,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid96,lipid_metab,17.467353595,17.467353595,71.7729066153125,71.7729066153125,0.000930972271575002,0.000930972271575002,4.32265650823765,4.32265650823765,4.3053334249613435,4.3053334249613435,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid97,lipid_metab,248.16938274999998,248.16938274999998,262.67125784468743,262.67125784468743,0.0009391056991171899,0.0009391056991171899,1.7369138483664357,1.7369138483664357,1.6332289658100483,1.6332289658100483,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid98,lipid_metab,791.27925785,791.27925785,1196.4353235968752,1196.4353235968752,0.0009391056991171899,0.0009391056991171899,1.8284604077662896,1.8284604077662896,1.8718756090201092,1.8718756090201092,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid104,lipid_metab,89.859245945,89.859245945,113.27758801875,113.27758801875,0.0009391056991171899,0.0009391056991171899,1.676913282089937,1.676913282089937,1.6491142713518165,1.6491142713518165,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid105,lipid_metab,56.66629351,56.66629351,80.34545979781251,80.34545979781251,0.000930972271575002,0.000930972271575002,2.129336707771037,2.129336707771037,2.09364731943581,2.09364731943581,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid106,lipid_metab,28.403033035,28.403033035,24.33911558203125,24.33911558203125,0.0009391056991171899,0.0009391056991171899,7.783613609391946,7.783613609391946,4.229487549213807,4.229487549213807,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid107,lipid_metab,46.883498669999994,46.883498669999994,46.00195515718751,46.00195515718751,0.0009391056991171899,0.0009391056991171899,1.7733598065894112,1.7733598065894112,1.7809976358354729,1.7809976358354729,1.0,1.0,True,1.317690501144665e-05,1.6804255267406683e-05
lipid108,lipid_metab,1306.2457715,1306.2457715,1250.1858820093746,1250.1858820093746,0.000891015907586499,0.000891015907586499,0.831444361953533,0.831444361953533,0.8204796188358674,0.8204796188358674,1.0,1.0,True,1.1945395480596261e-05,1.6804255267406683e-05
lipid109,lipid_metab,305.1454447,305.1454447,263.00665733562505,263.00665733562505,0.000930972271575002,0.000930972271575002,2.26457525370406,2.26457525370406,2.1357790664327676,2.1357790664327676,1.0,1.0,True,1.2964725965737427e-05,1.6804255267406683e-05
lipid110,lipid_metab,18.731704045,18.731704045,16.38835547253125,16.38835547253125,0.0009228863794545132,0.0009228863794545132,9.223966730761955,9.223966730761955,9.215215532055815,9.215215532055815,1.0,1.0,True,1.2755355324884391e-05,1.6804255267406683e-05
