Edge name,partner1,partner2,Edge Type,Spearman corr pval (metatreatment1),Spearman corr pval (metatreatment2),Spearman corr pval (metatreatment3),Spearman corr pval (metatreatment4),Spearman corr pval (metatreatment5),Spearman corr pval (metatreatment6),Combined corr Pvalue,Corr Coefficient (metatreatment1),Corr Coefficient (metatreatment2),Corr Coefficient (metatreatment3),Corr Coefficient (metatreatment4),Corr Coefficient (metatreatment5),Corr Coefficient (metatreatment6),Mean Corr Coefficient,Combined corr FDR,partner1 name,partner1_MedianValue (Experiment1),partner1_MedianValue (Experiment2),partner1_MeanValue (Experiment1),partner1_MeanValue (Experiment2),partner1_MedianLog2FoldChange (Experiment1),partner1_MedianLog2FoldChange (Experiment2),partner1_MeanLog2FoldChange (Experiment1),partner1_MeanLog2FoldChange (Experiment2),partner2 name,partner2_MedianValue (Experiment1),partner2_MedianValue (Experiment2),partner2_MeanValue (Experiment1),partner2_MeanValue (Experiment2),partner2_MedianLog2FoldChange (Experiment1),partner2_MedianLog2FoldChange (Experiment2),partner2_MeanLog2FoldChange (Experiment1),partner2_MeanLog2FoldChange (Experiment2),Correlations Passed Consistency Filter (All Agree),All Non-PUC Filters Passed,combined Coefficient correlation Direction,partner1_FC_direction,partner2_FC_direction,IfFoldChangeDirectionMatch,PUC,"Final Network Value (0: No edge, 1: Positive edge, -1: Negative edge)"
ENSMUSG00000022383<==>ENSMUSG00000052539,ENSMUSG00000022383,ENSMUSG00000052539,RNAseq<==>RNAseq,0.020815127253525318,0.0020082755054294677,0.006530017254715304,0.020815127253525318,0.0020082755054294677,0.006530017254715304,1.864202508120588e-08,0.7857142857142857,0.9047619047619048,0.8571428571428571,0.7857142857142857,0.9047619047619048,0.8571428571428571,0.8492063492063492,1.5016614678673023e-07,ENSMUSG00000022383,65.24405235,65.24405235,115.69545477718755,115.69545477718755,3.4654666648694645,3.4654666648694645,3.2408771938464573,3.2408771938464573,ENSMUSG00000052539,9.547865082000001,9.547865082000001,15.514038306062497,15.514038306062497,2.092231592288357,2.092231592288357,2.1811218702909994,2.1811218702909994,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid512<==>lipid392,lipid512,lipid392,lipid_metab<==>lipid_metab,6.548558831120576e-05,0.0149026676862301,0.05588472558800698,6.548558831120576e-05,0.0149026676862301,0.05588472558800698,1.2132743099823821e-09,-0.9700772721497398,-0.8095238095238095,-0.6946232319096902,-0.9700772721497398,-0.8095238095238095,-0.6946232319096902,-0.8247414378610799,3.969493166664079e-08,lipid512,236.82274304999999,236.82274304999999,730.9080146028124,730.9080146028124,-5.702374961518705,-5.702374961518705,-5.573033698617067,-5.573033698617067,lipid392,443.75312455,443.75312455,493.69519559687495,493.69519559687495,0.5897841007727629,0.5897841007727629,0.5013769979633371,0.5013769979633371,True,True,-1.0,-1.0,1.0,-1.0,1,-1.0
lipid508<==>lipid486,lipid508,lipid486,lipid_metab<==>lipid_metab,3.314396026200151e-05,0.0008629681828999817,0.0348550393366641,3.314396026200151e-05,0.0008629681828999817,0.0348550393366641,1.1486718463202572e-12,0.9761904761904762,0.9285714285714286,0.7425282823862206,0.9761904761904762,0.9285714285714286,0.7425282823862206,0.8824300623827085,9.279856742814101e-11,lipid508,1212.7532075,1212.7532075,1897.6239600821882,1897.6239600821882,-4.570467860975106,-4.570467860975106,-4.246714623280135,-4.246714623280135,lipid486,4763.071905,4763.071905,7100.036213603124,7100.036213603124,-2.5323259381881127,-2.5323259381881127,-2.2645653736284435,-2.2645653736284435,True,True,1.0,-1.0,-1.0,1.0,1,1.0
lipid133<==>lipid151,lipid133,lipid151,lipid_metab<==>lipid_metab,6.548558831120576e-05,0.0020082755054294677,0.13895995716070672,6.548558831120576e-05,0.0020082755054294677,0.13895995716070672,1.8512045518403814e-10,0.9700772721497398,0.9047619047619048,0.5714285714285714,0.9700772721497398,0.9047619047619048,0.5714285714285714,0.8154225827800721,7.850518775414592e-09,lipid133,166.78787634999998,166.78787634999998,287.68282626468755,287.68282626468755,2.2373041163394007,2.2373041163394007,2.2583135583256952,2.2583135583256952,lipid151,1135.4265455,1135.4265455,1760.3274007187504,1760.3274007187504,2.273705587277982,2.273705587277982,2.2757949464112714,2.2757949464112714,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid205<==>lipid487,lipid205,lipid487,lipid_metab<==>lipid_metab,0.0021929935684288824,0.03955562790429744,0.12334216912361896,0.0021929935684288824,0.03955562790429744,0.12334216912361896,7.5666480656426455e-06,-0.9018533352710063,-0.7305520197670881,-0.5904042985720529,-0.9018533352710063,-0.7305520197670881,-0.5904042985720529,-0.7409365512033824,6.126612411940554e-05,lipid205,2270.484725,2270.484725,2914.680966065625,2914.680966065625,1.4492204716030024,1.4492204716030024,1.5306874651698759,1.5306874651698759,lipid487,1833.6565145,1833.6565145,2929.8459090953443,2929.8459090953443,-3.7663569570883695,-3.7663569570883695,-3.534463406162338,-3.534463406162338,True,True,-1.0,1.0,-1.0,-1.0,1,-1.0
lipid144<==>lipid96,lipid144,lipid96,lipid_metab<==>lipid_metab,0.0034342327477969435,0.022867333969736812,0.03955562790429744,0.0034342327477969435,0.022867333969736812,0.03955562790429744,1.040167917459869e-06,0.8855421686746988,0.7784570702436183,0.7305520197670881,0.8855421686746988,0.7784570702436183,0.7305520197670881,0.798183752895135,1.2130538914828359e-05,lipid144,965.3786003,965.3786003,900.116527359375,900.116527359375,1.174873754462684,1.174873754462684,1.102336416820059,1.102336416820059,lipid96,17.467353595,17.467353595,71.7729066153125,71.7729066153125,4.32265650823765,4.32265650823765,4.3053334249613435,4.3053334249613435,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000061755<==>ENSMUSG00000038446,ENSMUSG00000061755,ENSMUSG00000038446,RNAseq<==>RNAseq,0.07098765432098764,0.006530017254715304,0.05799031816457279,0.07098765432098764,0.006530017254715304,0.05799031816457279,3.2085269860024255e-05,0.6666666666666666,0.8571428571428571,0.6904761904761905,0.6666666666666666,0.8571428571428571,0.6904761904761905,0.7380952380952381,7.052816372849613e-05,ENSMUSG00000061755,29.67927399,29.67927399,40.80537614384376,40.80537614384376,2.1211866080369006,2.1211866080369006,2.2176094272163542,2.2176094272163542,ENSMUSG00000038446,13.46630821,13.46630821,14.889529572093753,14.889529572093753,1.1137264482291103,1.1137264482291103,1.2279426463431913,1.2279426463431913,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000020250<==>ENSMUSG00000064294,ENSMUSG00000020250,ENSMUSG00000064294,RNAseq<==>RNAseq,0.0008629681828999817,0.0038503204637324114,0.05799031816457279,0.0008629681828999817,0.0038503204637324114,0.05799031816457279,1.0366979057841978e-08,0.9285714285714286,0.8809523809523809,0.6904761904761905,0.9285714285714286,0.8809523809523809,0.6904761904761905,0.8333333333333335,9.549222767539281e-08,ENSMUSG00000020250,49.876532624999996,49.876532624999996,84.67527738812501,84.67527738812501,2.1229224880407855,2.1229224880407855,2.11571892814076,2.11571892814076,ENSMUSG00000064294,134.11088405,134.11088405,159.58036926593752,159.58036926593752,1.03249517726516,1.03249517726516,1.00959880350458,1.00959880350458,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000036940<==>ENSMUSG00000032407,ENSMUSG00000036940,ENSMUSG00000032407,RNAseq<==>RNAseq,0.006530017254715304,0.006530017254715304,0.0008629681828999817,0.006530017254715304,0.006530017254715304,0.0008629681828999817,6.181171475229299e-10,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8809523809523809,9.826329606883212e-09,ENSMUSG00000036940,5.306196663,5.306196663,6.319539214218751,6.319539214218751,1.5544659029809142,1.5544659029809142,1.5469715251134635,1.5469715251134635,ENSMUSG00000032407,45.134414140000004,45.134414140000004,53.2301512746875,53.2301512746875,0.8433904882065308,0.8433904882065308,0.8424628769633505,0.8424628769633505,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid10<==>lipid19,lipid10,lipid19,lipid_metab<==>lipid_metab,0.0020082755054294677,0.010175540123456787,3.314396026200151e-05,0.0020082755054294677,0.010175540123456787,3.314396026200151e-05,5.801426590281063e-13,0.9047619047619048,0.8333333333333334,0.9761904761904762,0.9047619047619048,0.8333333333333334,0.9761904761904762,0.9047619047619048,4.934966466003203e-11,lipid10,0.012927862,0.012927862,0.01864262953125,0.01864262953125,4.7147320095407315,4.7147320095407315,4.01044594695942,4.01044594695942,lipid19,0.327556991,0.327556991,0.4545171847500001,0.4545171847500001,2.484966753379,2.484966753379,2.333175508478181,2.333175508478181,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000036180<==>ENSMUSG00000030451,ENSMUSG00000036180,ENSMUSG00000030451,RNAseq<==>RNAseq,0.0020082755054294677,0.04652823228416728,0.07098765432098764,0.0020082755054294677,0.04652823228416728,0.07098765432098764,3.5335248130969567e-06,0.9047619047619048,0.7142857142857143,0.6666666666666666,0.9047619047619048,0.7142857142857143,0.6666666666666666,0.7619047619047619,1.0849324381007082e-05,ENSMUSG00000036180,33.939246495000006,33.939246495000006,36.171231511562496,36.171231511562496,0.6862514303052835,0.6862514303052835,0.6462927897697286,0.6462927897697286,ENSMUSG00000030451,48.345226374999996,48.345226374999996,57.103727849062494,57.103727849062494,1.264613135854061,1.264613135854061,1.298891830763783,1.298891830763783,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000078427<==>ENSMUSG00000064337,ENSMUSG00000078427,ENSMUSG00000064337,RNAseq<==>RNAseq,0.015904562291661425,0.0001781567727650473,0.020815127253525318,0.015904562291661425,0.0001781567727650473,0.020815127253525318,1.387086529161634e-09,0.8051175601825399,0.9581010095306072,0.7857142857142857,0.8051175601825399,0.9581010095306072,0.7857142857142857,0.8496442851424776,1.9009689403676325e-08,ENSMUSG00000078427,27.408338025,27.408338025,36.895974530937494,36.895974530937494,1.3917329909382397,1.3917329909382397,1.365630906805958,1.365630906805958,ENSMUSG00000064337,1441.1055744999999,1441.1055744999999,4521.156135850001,4521.156135850001,4.172841866540582,4.172841866540582,4.083104108444955,4.083104108444955,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid106<==>lipid48,lipid106,lipid48,lipid_metab<==>lipid_metab,0.1017330374542646,0.03655276105286082,0.1017330374542646,0.1017330374542646,0.03655276105286082,0.1017330374542646,0.001640777050096432,-0.6190476190476191,-0.7380952380952381,-0.6190476190476191,-0.6190476190476191,-0.7380952380952381,-0.6190476190476191,-0.6587301587301587,0.005064520153990289,lipid106,28.403033035,28.403033035,24.33911558203125,24.33911558203125,7.783613609391946,7.783613609391946,4.229487549213807,4.229487549213807,lipid48,12.690646234999999,12.690646234999999,19.908892982875,19.908892982875,-1.6073306413153183,-1.6073306413153183,-6.096853322981119,-6.096853322981119,True,True,-1.0,1.0,-1.0,-1.0,1,-1.0
ENSMUSG00000032384<==>ENSMUSG00000037234,ENSMUSG00000032384,ENSMUSG00000037234,RNAseq<==>RNAseq,0.02800493915307187,0.0038503204637324114,0.04652823228416728,0.02800493915307187,0.0038503204637324114,0.04652823228416728,2.2572840071867395e-06,0.7619047619047619,0.8809523809523809,0.7142857142857143,0.7619047619047619,0.8809523809523809,0.7142857142857143,0.7857142857142857,7.436359127613929e-06,ENSMUSG00000032384,7.300996323,7.300996323,8.220757082312502,8.220757082312502,1.081177105820756,1.081177105820756,1.1178978580989827,1.1178978580989827,ENSMUSG00000037234,35.24687868,35.24687868,50.162810897812506,50.162810897812506,1.6526929081976027,1.6526929081976027,1.6021410546132178,1.6021410546132178,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000066406<==>ENSMUSG00000052428,ENSMUSG00000066406,ENSMUSG00000052428,RNAseq<==>RNAseq,0.04652823228416728,0.0008629681828999817,0.03655276105286082,0.04652823228416728,0.0008629681828999817,0.03655276105286082,3.056747862600327e-07,0.7142857142857143,0.9285714285714286,0.7380952380952381,0.7142857142857143,0.9285714285714286,0.7380952380952381,0.7936507936507936,1.418697984797587e-06,ENSMUSG00000066406,50.022056004999996,50.022056004999996,61.900711248125,61.900711248125,1.4406527049623645,1.4406527049623645,1.412780288075353,1.412780288075353,ENSMUSG00000052428,85.646484715,85.646484715,93.01949581593749,93.01949581593749,0.7531066146378727,0.7531066146378727,0.7430896672022975,0.7430896672022975,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000064337<==>ENSMUSG00000023852,ENSMUSG00000064337,ENSMUSG00000023852,RNAseq<==>RNAseq,0.0021376469091087015,0.005872990672297001,0.03655276105286082,0.0021376469091087015,0.005872990672297001,0.03655276105286082,4.452051101487325e-08,0.9027075674773932,0.8622909085775465,0.7380952380952381,0.9027075674773932,0.8622909085775465,0.7380952380952381,0.8343645713833926,2.993256491553336e-07,ENSMUSG00000064337,1441.1055744999999,1441.1055744999999,4521.156135850001,4521.156135850001,4.172841866540582,4.172841866540582,4.083104108444955,4.083104108444955,ENSMUSG00000023852,23.410546295,23.410546295,30.873530778437498,30.873530778437498,1.4675249133254853,1.4675249133254853,1.5442297530879223,1.5442297530879223,True,True,1.0,1.0,1.0,1.0,1,1.0
ENSMUSG00000035284<==>ENSMUSG00000016756,ENSMUSG00000035284,ENSMUSG00000016756,RNAseq<==>RNAseq,0.08555889101267318,0.0149026676862301,0.04652823228416728,0.08555889101267318,0.0149026676862301,0.04652823228416728,0.00010807143622936177,0.6428571428571429,0.8095238095238095,0.7142857142857143,0.6428571428571429,0.8095238095238095,0.7142857142857143,0.7222222222222223,0.00020204745890398722,ENSMUSG00000035284,7.073149718,7.073149718,13.529175260843749,13.529175260843749,2.7501757946513803,2.7501757946513803,2.740755884618366,2.740755884618366,ENSMUSG00000016756,43.21134246,43.21134246,75.22678917437497,75.22678917437497,2.3123666367049776,2.3123666367049776,2.279717947355402,2.279717947355402,True,True,1.0,1.0,1.0,1.0,1,1.0
lipid479<==>lipid70,lipid479,lipid70,lipid_metab<==>lipid_metab,0.026520014304076557,0.11952980613879265,0.03655276105286082,0.026520014304076557,0.11952980613879265,0.03655276105286082,0.0002950926043614385,-0.7664808076244858,-0.5952380952380952,-0.7380952380952381,-0.7664808076244858,-0.5952380952380952,-0.7380952380952381,-0.6999380469859396,0.001261053270185855,lipid479,188.98666565000002,188.98666565000002,318.61057281681263,318.61057281681263,-5.1383904348684,-5.1383904348684,-5.478552754652763,-5.478552754652763,lipid70,1691.6816845,1691.6816845,1655.5362608875002,1655.5362608875002,2.557955301946821,2.557955301946821,1.8983781638388002,1.8983781638388002,True,True,-1.0,-1.0,1.0,-1.0,1,-1.0
lipid504<==>lipid470,lipid504,lipid470,lipid_metab<==>lipid_metab,0.04652823228416728,0.0348550393366641,0.08064416098739903,0.04652823228416728,0.0348550393366641,0.08064416098739903,0.00035302936147744226,0.7142857142857143,0.7425282823862206,0.6506024096385542,0.7142857142857143,0.7425282823862206,0.6506024096385542,0.7024721354368296,0.001452368125565689,lipid504,252.0385919,252.0385919,302.42083652828126,302.42083652828126,-1.7242640712425468,-1.7242640712425468,-1.6672370682783086,-1.6672370682783086,lipid470,113.25135015000001,113.25135015000001,130.60688024956247,130.60688024956247,-10.19879714916615,-10.19879714916615,-10.40159321063994,-10.40159321063994,True,True,1.0,-1.0,-1.0,1.0,1,1.0
