Node,Subnetwork_partition
FatMass,plasma_anthro_0
LeanMass,plasma_anthro_0
BW,plasma_anthro_2
PLChol,plasma_anthro_2
LW_BW,plasma_anthro_2
TLR2Agonist,plasma_anthro_1
LW,plasma_anthro_2
TLR4Agonist,plasma_anthro_1
lipid512,lipid_metab_0
lipid392,lipid_metab_1
lipid508,lipid_metab_0
lipid486,lipid_metab_1
lipid133,lipid_metab_2
lipid151,lipid_metab_2
lipid205,lipid_metab_1
lipid487,lipid_metab_1
lipid144,lipid_metab_2
lipid96,lipid_metab_2
lipid10,lipid_metab_3
lipid19,lipid_metab_3
lipid106,lipid_metab_4
lipid48,lipid_metab_4
lipid479,lipid_metab_0
lipid70,lipid_metab_1
lipid504,lipid_metab_1
lipid470,lipid_metab_1
lipid378,lipid_metab_5
lipid138,lipid_metab_5
lipid210,lipid_metab_1
lipid247,lipid_metab_1
lipid443,lipid_metab_1
lipid219,lipid_metab_1
lipid517,lipid_metab_1
lipid516,lipid_metab_1
lipid388,lipid_metab_5
lipid362,lipid_metab_5
lipid532,lipid_metab_1
lipid160,lipid_metab_2
lipid314,lipid_metab_0
lipid306,lipid_metab_0
lipid499,lipid_metab_1
lipid507,lipid_metab_1
lipid115,lipid_metab_2
lipid122,lipid_metab_2
lipid491,lipid_metab_0
lipid44,lipid_metab_0
lipid485,lipid_metab_1
lipid518,lipid_metab_0
lipid488,lipid_metab_0
lipid480,lipid_metab_5
lipid436,lipid_metab_5
lipid67,lipid_metab_5
lipid451,lipid_metab_0
lipid5,lipid_metab_3
lipid38,lipid_metab_5
lipid273,lipid_metab_4
lipid395,lipid_metab_4
lipid413,lipid_metab_4
lipid229,lipid_metab_4
lipid524,lipid_metab_5
lipid104,lipid_metab_5
lipid510,lipid_metab_5
lipid252,lipid_metab_0
lipid269,lipid_metab_5
lipid503,lipid_metab_0
lipid495,lipid_metab_5
lipid327,lipid_metab_0
lipid35,lipid_metab_1
lipid371,lipid_metab_1
lipid211,lipid_metab_1
lipid86,lipid_metab_4
lipid88,lipid_metab_4
lipid471,lipid_metab_5
lipid509,lipid_metab_0
lipid302,lipid_metab_0
lipid207,lipid_metab_5
lipid312,lipid_metab_0
lipid464,lipid_metab_0
lipid523,lipid_metab_5
lipid145,lipid_metab_2
lipid489,lipid_metab_0
lipid497,lipid_metab_1
lipid360,lipid_metab_5
lipid468,lipid_metab_2
lipid529,lipid_metab_5
lipid320,lipid_metab_0
lipid267,lipid_metab_1
lipid515,lipid_metab_1
lipid197,lipid_metab_1
lipid185,lipid_metab_1
lipid466,lipid_metab_5
lipid108,lipid_metab_1
lipid284,lipid_metab_4
lipid282,lipid_metab_4
lipid519,lipid_metab_0
lipid505,lipid_metab_1
lipid124,lipid_metab_1
lipid152,lipid_metab_2
lipid156,lipid_metab_4
lipid142,lipid_metab_2
lipid137,lipid_metab_2
lipid165,lipid_metab_2
lipid98,lipid_metab_2
lipid514,lipid_metab_0
lipid455,lipid_metab_0
lipid482,lipid_metab_1
lipid56,lipid_metab_5
lipid513,lipid_metab_0
lipid130,lipid_metab_2
lipid114,lipid_metab_2
lipid454,lipid_metab_0
lipid445,lipid_metab_0
lipid120,lipid_metab_2
lipid125,lipid_metab_5
lipid382,lipid_metab_5
lipid414,lipid_metab_4
lipid253,lipid_metab_4
lipid316,lipid_metab_0
lipid89,lipid_metab_4
lipid484,lipid_metab_1
lipid109,lipid_metab_2
lipid305,lipid_metab_0
lipid112,lipid_metab_2
lipid126,lipid_metab_2
lipid65,lipid_metab_5
lipid520,lipid_metab_0
lipid351,lipid_metab_0
lipid73,lipid_metab_4
lipid63,lipid_metab_5
lipid391,lipid_metab_5
lipid374,lipid_metab_5
lipid28,lipid_metab_8
lipid31,lipid_metab_8
lipid365,lipid_metab_5
lipid105,lipid_metab_5
lipid522,lipid_metab_0
lipid461,lipid_metab_1
lipid408,lipid_metab_4
lipid410,lipid_metab_4
lipid3,lipid_metab_3
lipid419,lipid_metab_1
lipid6,lipid_metab_3
lipid57,lipid_metab_2
lipid68,lipid_metab_1
lipid531,lipid_metab_5
lipid132,lipid_metab_2
lipid90,lipid_metab_4
lipid498,lipid_metab_1
lipid94,lipid_metab_5
lipid128,lipid_metab_2
lipid97,lipid_metab_2
lipid116,lipid_metab_2
lipid483,lipid_metab_1
lipid155,lipid_metab_2
lipid291,lipid_metab_4
lipid20,lipid_metab_3
lipid1,lipid_metab_3
lipid386,lipid_metab_5
lipid199,lipid_metab_5
lipid321,lipid_metab_0
lipid201,lipid_metab_5
lipid511,lipid_metab_1
lipid384,lipid_metab_5
lipid92,lipid_metab_4
lipid47,lipid_metab_4
lipid62,lipid_metab_0
lipid179,lipid_metab_1
lipid432,lipid_metab_4
lipid431,lipid_metab_4
lipid367,lipid_metab_5
lipid283,lipid_metab_9
lipid394,lipid_metab_9
lipid117,lipid_metab_2
lipid299,lipid_metab_0
lipid317,lipid_metab_0
lipid110,lipid_metab_2
lipid119,lipid_metab_4
lipid402,lipid_metab_4
lipid412,lipid_metab_4
lipid178,lipid_metab_1
lipid389,lipid_metab_4
lipid442,lipid_metab_0
