lipid_metab_node,RNAseq_node,Shortest_path_length,number_of_shortest_paths
lipid104,ENSMUSG00000000056,8,3
lipid104,ENSMUSG00000002028,9,27
lipid104,ENSMUSG00000003039,9,15
lipid104,ENSMUSG00000003813,9,3
lipid104,ENSMUSG00000004207,3,2
lipid104,ENSMUSG00000006005,8,3
lipid104,ENSMUSG00000011960,9,3
lipid104,ENSMUSG00000015759,9,9
lipid104,ENSMUSG00000016756,8,3
lipid104,ENSMUSG00000020154,9,3
lipid104,ENSMUSG00000020224,8,3
lipid104,ENSMUSG00000020250,9,27
lipid104,ENSMUSG00000020608,9,84
lipid104,ENSMUSG00000020609,8,3
lipid104,ENSMUSG00000020709,9,36
lipid104,ENSMUSG00000020721,8,3
lipid104,ENSMUSG00000020863,8,3
lipid104,ENSMUSG00000021039,7,3
lipid104,ENSMUSG00000021149,9,39
lipid104,ENSMUSG00000021243,9,3
lipid104,ENSMUSG00000021408,10,159
lipid104,ENSMUSG00000021413,9,30
lipid104,ENSMUSG00000021549,9,30
lipid104,ENSMUSG00000022141,9,24
lipid104,ENSMUSG00000022205,10,270
lipid104,ENSMUSG00000022383,8,6
lipid104,ENSMUSG00000022387,9,6
lipid104,ENSMUSG00000022521,9,6
lipid104,ENSMUSG00000022911,8,3
lipid104,ENSMUSG00000023852,8,6
lipid104,ENSMUSG00000024083,9,12
lipid104,ENSMUSG00000024096,3,18
lipid104,ENSMUSG00000024122,9,3
lipid104,ENSMUSG00000024188,9,27
lipid104,ENSMUSG00000024384,9,3
lipid104,ENSMUSG00000024498,8,3
lipid104,ENSMUSG00000024526,3,3
lipid104,ENSMUSG00000024921,9,3
lipid104,ENSMUSG00000024975,9,6
lipid104,ENSMUSG00000025194,9,12
lipid104,ENSMUSG00000025364,9,9
lipid104,ENSMUSG00000025809,8,3
lipid104,ENSMUSG00000025860,9,15
lipid104,ENSMUSG00000026234,8,3
lipid104,ENSMUSG00000026353,8,3
lipid104,ENSMUSG00000026398,9,33
lipid104,ENSMUSG00000026464,9,48
lipid104,ENSMUSG00000026579,8,3
lipid104,ENSMUSG00000026740,9,9
lipid104,ENSMUSG00000026743,10,243
