ID,RD_509,RD_510,RD_511,RD_512,RD_513,RD_514,RD_515,RD_516,WDO_517,WDO_518,WDO_519,WDO_520,WDO_521,WDO_522,WDO_523,WDO_524,WDE_525,WDE_526,WDE_527,WDE_528,WDE_529,WDE_530,WDE_531,WDE_532,WDD_533,WDD_534,WDD_535,WDD_536,WDD_537,WDD_538,WDD_539,WDD_540
PLChol,0.24,0.32,0.29,0.23,0.27,0.26,0.3,0.33,1.21,1.27,1.2,1.25,1.27,1.33,1.11,1.23,1.07,1.05,1.27,1.2,1.18,1.04,0.81,0.9,1.12,0.65,1.02,0.89,0.72,0.95,0.95,0.85
TLR2Agonist,0.87,0.65,0.87,0.89,0.86,1.04,0.93,0.84,1.05,1.94,1.44,1.07,1.24,1.51,1.17,1.41,0.99,1.11,1.33,1.51,1.19,0.96,1.18,1.18,1.02,0.69,0.99,0.95,0.94,1.07,0.94,0.89
TLR4Agonist,0.8,0.68,0.79,0.75,0.94,0.79,0.8,0.79,0.99,1.12,1.16,1.06,1.11,1.14,1.11,1.1,0.92,0.95,1.15,1.21,1.09,1,1.07,1.05,1,0.88,1.03,0.97,0.89,1.33,1.02,0.82
BW,0.8,0.66,0.77,0.59,0.62,0.77,0.75,0.72,0.91,0.97,0.94,0.99,1.04,1.01,0.97,1.08,1.09,1.14,1.2,1.21,1.15,1.16,1,1.01,1.1,0.98,1.09,0.99,0.89,1.08,1,1
LW,0.57,0.69,0.66,0.49,0.51,0.67,0.59,0.55,0.94,1.16,0.96,0.97,1.15,1.19,0.93,1.29,1.11,1.07,1.48,1.58,1.34,1.18,0.91,1.07,1.09,0.64,1.11,0.76,0.76,1.03,0.88,0.83
LW_BW,0.72,1.06,0.87,0.83,0.84,0.89,0.81,0.79,1.05,1.22,1.03,0.99,1.13,1.19,0.97,1.21,1.04,0.96,1.26,1.33,1.19,1.04,0.93,1.07,1.01,0.67,1.03,0.78,0.86,0.97,0.9,0.84
LeanMass,1.41,1.5,1.34,1.5,1.48,1.39,1.41,1.37,1.14,1.04,1,0.98,1.03,1.03,1.03,1.02,0.98,0.9,1.03,0.98,1,0.87,0.97,1.03,1,1.03,0.96,0.96,0.96,1,0.96,0.97
FatMass,0.48,0.36,0.57,0.36,0.38,0.5,0.48,0.53,0.83,0.95,0.99,1.02,0.96,0.96,0.96,0.97,1.03,1.13,0.96,1.02,1,1.16,1.04,0.96,1.01,0.96,1.05,1.05,1.05,1,1.05,1.04
lipid1,0.004949668,0.000761101,0.001188641,0.002220717,0.008979809,0.003320755,0.001497904,0.000892972,0.025848259,0.045296863,0.035879652,0.023304764,0.033182068,0.028246225,0.039276874,0.006132941,0.010931615,0.007327268,0.013768986,0.007238452,0.01473292,0.009967859,0.021943681,0.02221951,0.015477212,0.009967859,0.013166706,0.005595896,0.016007677,0.015132336,0.00748035,0.003787206
lipid2,0.131492381,0.068615838,0.051371127,0.079764674,0.199654301,0.110561628,0.125230508,0.086666604,0.566775218,0.831642734,0.740779025,0.497085966,0.731949034,0.653022539,0.935876842,0.18925571,0.247288078,0.270269706,0.454921817,0.259799151,0.588866893,0.351066401,0.547654203,0.845510043,0.537554619,0.239424964,0.345142735,0.199197245,0.269830621,0.448861027,0.283786898,0.124549098
