Network Index,Node,Degree,BiBC
0,phenoA,6,0.07291666666666666
1,phenoB,6,0.08333333333333333
2,phenoA,6,0.07291666666666666
3,phenoB,6,0.125
4,phenoC,6,0.0875
5,phenoC,6,0.09375
6,phenoA,6,0.0625
7,phenoB,6,0.125
8,phenoA,6,0.07291666666666666
9,phenoA,6,0.07291666666666666
10,geneF,6,0.037037037037037035
11,phenoA,6,N/A
12,phenoB,6,0.09375
13,phenoC,6,0.11458333333333331
14,phenoC,6,0.13541666666666666
15,phenoB,6,0.06666666666666667
16,phenoA,5,0.03125
17,geneE,6,0.1111111111111111
18,phenoA,6,0.0625
19,geneE,6,0.1111111111111111
20,geneH,6,0.08333333333333333
21,phenoA,6,0.0625
22,phenoA,6,0.07291666666666666
23,phenoC,6,0.041666666666666664
24,geneF,6,0.05925925925925926
25,phenoB,6,0.0875
26,geneE,6,0.10185185185185185
27,geneE,6,0.07777777777777778
28,geneF,6,0.09259259259259259
29,geneG,6,0.05555555555555555
30,phenoB,6,0.11458333333333333
31,geneF,6,0.1148148148148148
32,phenoC,6,0.13541666666666666
33,phenoB,6,0.11458333333333331
34,phenoB,6,0.13541666666666666
35,phenoC,6,0.0625
36,geneF,5,0.05
37,phenoB,6,0.05625
38,geneF,5,0.05
39,geneE,6,0.05555555555555555
40,geneE,6,0.05555555555555555
41,geneH,6,0.06481481481481481
42,phenoC,6,0.08333333333333333
43,geneE,6,0.15740740740740738
44,geneF,6,0.1148148148148148
45,geneE,6,0.06481481481481481
46,phenoA,6,0.10416666666666666
47,phenoC,6,0.08333333333333333
48,geneE,6,0.06481481481481481
49,phenoB,6,0.13541666666666666
50,geneH,6,0.1148148148148148
51,geneH,6,0.07777777777777778
52,phenoA,5,0.05625
53,phenoA,5,0.07291666666666666
54,phenoA,6,0.03125
55,phenoA,6,0.0875
56,phenoB,6,0.17708333333333331
57,phenoA,6,0.13541666666666666
58,phenoA,5,0.03125
59,phenoB,6,0.08333333333333333
60,phenoA,6,0.13541666666666666
61,geneE,6,0.05925925925925926
62,phenoB,6,0.08333333333333333
63,phenoB,6,0.07291666666666666
64,phenoC,6,0.11458333333333333
65,geneE,6,0.037037037037037035
66,geneF,6,0.05925925925925926
67,geneE,6,N/A
68,phenoA,5,0.025
69,phenoC,6,0.10416666666666666
70,phenoB,6,0.17708333333333331
71,phenoA,6,0.0625
72,phenoC,6,0.10416666666666666
73,phenoB,6,0.10416666666666666
74,geneE,6,0.09259259259259259
75,phenoC,6,0.14583333333333331
76,phenoC,6,0.11458333333333333
77,geneF,6,0.0962962962962963
78,geneE,6,0.1111111111111111
79,geneE,6,0.06481481481481481
80,geneE,6,0.05555555555555555
81,phenoA,6,0.041666666666666664
82,geneH,6,0.06481481481481481
83,geneH,6,0.05555555555555555
84,phenoA,5,0.0875
85,phenoA,6,0.0625
86,phenoA,5,0.07291666666666666
87,geneF,6,0.06481481481481481
88,phenoB,6,0.0875
89,phenoB,6,0.125
90,phenoB,6,0.03125
91,geneH,6,0.0962962962962963
92,phenoC,6,0.09375
93,geneF,6,0.05555555555555555
94,phenoA,6,0.09375
95,phenoB,6,0.11458333333333333
96,geneH,6,0.06481481481481481
97,phenoA,6,0.05625
98,geneF,6,0.06481481481481481
99,geneE,6,0.05925925925925926
100,phenoA,5,0.0625
101,phenoB,6,0.041666666666666664
102,phenoA,5,0.05625
103,phenoA,6,0.03125
104,geneG,6,0.1111111111111111
105,phenoA,6,0.10416666666666666
106,phenoA,6,0.125
107,phenoB,6,0.11458333333333333
108,phenoA,5,0.0625
109,phenoB,6,0.13541666666666666
110,phenoA,5,0.041666666666666664
111,phenoB,6,0.03125
112,phenoA,6,0.06666666666666667
113,geneE,6,0.05925925925925926
114,geneE,6,0.06481481481481481
115,geneF,6,0.037037037037037035
116,phenoC,6,0.09375
117,phenoA,6,0.09375
118,phenoC,6,0.0625
119,phenoB,6,0.13541666666666666
120,geneE,6,0.09259259259259259
121,phenoC,6,0.07291666666666666
122,phenoA,6,0.08333333333333333
123,phenoA,6,0.11458333333333331
124,phenoB,6,0.08333333333333333
125,geneH,6,0.06481481481481481
126,phenoB,6,0.07291666666666666
127,phenoA,6,N/A
128,phenoC,6,0.125
129,phenoB,6,0.10416666666666666
130,phenoC,6,0.07291666666666666
131,phenoC,6,0.1875
132,phenoA,6,0.11458333333333331
133,phenoC,6,0.05625
134,phenoB,6,0.025
135,phenoC,6,0.17708333333333331
136,geneF,6,0.06481481481481481
137,phenoA,6,0.0875
138,phenoA,6,0.03125
139,phenoC,6,0.041666666666666664
140,phenoC,5,0.03125
141,phenoC,6,0.10416666666666666
142,phenoB,6,0.041666666666666664
143,phenoA,6,0.13541666666666666
144,phenoA,5,0.041666666666666664
145,phenoA,5,0.041666666666666664
146,phenoC,6,0.11458333333333333
147,phenoB,6,0.041666666666666664
148,phenoB,6,0.06666666666666667
149,geneE,6,N/A
150,phenoA,6,N/A
151,geneF,6,0.1148148148148148
152,phenoA,6,0.0625
153,phenoB,6,0.07291666666666666
154,geneF,5,0.05
155,geneH,6,0.1148148148148148
156,phenoB,6,0.11458333333333333
157,phenoC,6,N/A
158,geneE,6,0.0962962962962963
159,geneE,6,0.10185185185185183
160,phenoA,6,0.07291666666666666
161,geneH,6,0.12037037037037036
162,phenoA,6,0.11458333333333331
163,geneE,6,0.06481481481481481
164,geneG,6,0.05555555555555555
165,phenoA,6,0.041666666666666664
166,phenoA,6,0.07291666666666666
167,geneH,6,0.05925925925925926
168,phenoC,6,0.05625
169,geneF,6,0.10185185185185185
170,phenoA,6,0.08333333333333333
171,phenoB,6,0.10416666666666666
172,phenoB,5,0.025
173,phenoB,6,0.05625
174,phenoB,6,0.14583333333333331
175,phenoB,6,0.03125
176,phenoB,6,0.1875
177,phenoA,5,0.041666666666666664
178,phenoC,6,0.10416666666666666
179,geneH,6,0.08333333333333333
180,phenoA,5,0.07291666666666666
181,phenoB,6,0.07291666666666666
182,phenoC,6,0.125
183,geneE,6,0.05555555555555555
184,phenoA,6,N/A
185,phenoB,6,0.09375
186,phenoC,6,0.09791666666666665
187,phenoC,6,0.10416666666666666
188,phenoC,6,0.07291666666666666
189,geneE,6,0.1148148148148148
190,geneG,6,0.05555555555555555
191,phenoA,6,0.11458333333333331
192,phenoB,6,0.125
193,phenoA,6,0.0875
194,phenoB,6,0.08333333333333333
195,phenoA,5,0.03125
196,phenoA,6,0.07291666666666666
197,phenoB,5,0.07291666666666666
198,phenoC,6,0.13541666666666666
199,phenoA,6,0.0625
200,phenoB,5,0.03125
201,phenoA,6,0.0625
202,phenoB,6,0.10416666666666666
203,phenoC,6,0.10416666666666666
204,phenoC,6,0.041666666666666664
205,phenoC,6,0.0625
206,phenoA,6,0.05625
207,phenoA,5,0.0625
208,phenoB,6,0.0625
209,geneH,6,0.05555555555555555
210,phenoA,6,0.10416666666666666
211,geneE,6,0.05555555555555555
212,phenoC,6,0.10416666666666666
213,geneG,6,0.08333333333333333
214,phenoA,5,0.05625
215,geneG,6,0.06481481481481481
216,phenoC,6,0.11458333333333331
217,geneF,6,0.05925925925925926
218,phenoA,6,0.08333333333333333
219,phenoA,6,0.03125
220,phenoC,5,0.041666666666666664
221,phenoC,6,0.11458333333333331
222,geneH,6,0.09259259259259259
223,phenoB,6,0.03125
224,phenoC,6,0.0625
225,geneE,6,0.05555555555555555
226,phenoA,5,0.03125
227,geneF,6,0.08333333333333333
228,geneF,6,0.12037037037037036
229,geneF,6,0.05925925925925926
230,phenoB,5,0.07291666666666666
231,phenoA,6,0.041666666666666664
232,phenoB,6,0.10416666666666666
233,phenoC,6,0.041666666666666664
234,phenoC,6,0.041666666666666664
235,phenoA,6,0.06666666666666667
236,phenoB,6,0.0625
237,phenoA,6,0.03125
238,phenoB,6,0.11458333333333331
239,phenoC,6,0.11458333333333333
240,phenoC,6,0.10416666666666666
241,phenoB,5,0.025
242,phenoA,5,0.041666666666666664
243,geneF,6,0.10185185185185183
244,phenoC,6,0.09791666666666665
245,phenoA,5,0.03125
246,phenoA,6,0.10416666666666666
247,geneF,6,0.1148148148148148
248,phenoA,5,0.0625
249,geneF,6,0.037037037037037035
250,phenoC,6,0.07291666666666666
251,phenoA,6,0.041666666666666664
252,phenoC,6,0.10416666666666666
253,geneE,6,0.07777777777777778
254,phenoA,6,0.0875
255,phenoB,6,0.14583333333333331
256,geneG,6,0.08333333333333333
257,geneE,6,0.10185185185185185
258,geneH,6,0.05555555555555555
259,geneE,6,0.12037037037037036
260,phenoC,6,0.10416666666666666
261,phenoA,6,0.03125
262,geneH,6,0.08333333333333333
263,phenoC,6,0.10416666666666666
264,phenoA,6,0.0625
265,geneH,6,0.1111111111111111
266,phenoA,6,0.03125
267,phenoB,6,0.041666666666666664
268,phenoC,6,0.06666666666666667
269,geneH,6,0.10185185185185183
270,geneE,6,0.10185185185185185
271,geneE,6,0.07777777777777778
272,geneE,6,0.09259259259259259
