ID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Tr1,Tr2,Tr3,Tr4,Tr5,Tr6,Tr7,Tr8,Tr9,Tr10
phenoA,1.461752156,10.91554169,6.109470248,10.13311924,15.33448374,7.249920855,6.214185398,7.779004774,15.99608273,14.01492074,0.220175216,1.096554169,0.648947025,1.022311924,1.534448374,0.802992086,0.67441854,0.803900477,1.644608273,1.410492074
phenoB,9.15484727,10.98696953,10.58314057,12.30296377,20.68129782,11.97097308,8.446417831,13.0253509,18.02543132,17.5116216,0.948484727,1.155696953,1.061314057,1.318296377,2.141129782,1.271097308,0.859641783,1.31953509,1.866543132,1.82916216
phenoC,1.101301127,0.294920596,0.519197253,0.404527852,0.207103087,0.391919378,0.398294292,0.353802864,0.268477067,0.236937992,10.29301127,2.599205965,5.171972534,4.035278516,1.381030871,3.069193776,3.802942925,2.858028637,1.894770665,2.109379915
geneE,2.47667837,5.193782838,2.631491882,2.656754859,7.670766365,4.283364223,4.391128043,4.72641732,6.167107857,5.199994864,0.265667837,0.582378284,0.304149188,0.311675486,0.770076637,0.464336422,0.504112804,0.535641732,0.687710786,0.600999486
geneF,0.2901455,0.1319554,0.3387061,0.2495763,0.0668817,0.1517826,0.2590031,0.177326,0.1111844,0.1767696,2.781455,0.769554,2.697061,1.635763,0.258817,1.347826,1.710031,1.56326,0.501844,1.597696
geneG,5.166358893,43.43320038,4.305410238,5.224173748,67.75386888,17.61901623,16.92759051,0.396389671,41.66014594,4.14052925,0.581635889,4.376320038,0.433541024,0.559417375,6.826386888,1.772901623,1.775759051,0.067638967,4.185014594,0.493052925
geneH,11.023,104.2977341,22.4,34.25,202.402,54.34,65.75766393,83.89,89.27,32.15157564,1.1293,10.49677341,2.307,3.493,20.3032,5.482,6.649766393,8.432,8.973,3.266157564
geneI,37.001758,99.93478231,73.98148,69.07492,128.268528,48.4752,48.81138901,83.62964,129.44492,104.9875611,12.2586,32.91354681,24.544,22.906,42.4764,15.944,16.22953279,27.824,42.886,34.46231513
geneJ,85.68030055,86.68996973,92.01884235,156.2624318,15.91633628,68.47523266,139.3956832,228.3367344,127.2600798,117.6234062,17.01451496,17.29061029,18.45104638,31.00523402,3.217789362,13.60048267,27.66320459,45.61821045,25.2600952,23.44099726
phenoK,9.836969454,7.251393906,19.16262811,26.52659275,23.15225956,3.362194616,6.719283566,32.66907018,31.61308626,26.53832432,9.856969454,7.211393906,19.19262811,26.46659275,23.19225956,3.392194616,6.759283566,32.60907018,31.62308626,26.58832432
